Urun AdÄ±,Birim,En DÃ¼ÅÃ¼k Fiyat,En YÃ¼ksek Fiyat
Bakla,Kilogram,"25,00 TL","45,00 TL"
Biber (Capia),Kilogram,"50,00 TL","70,00 TL"
Biber (Capya) Tarla,Kilogram,"15,00 TL","25,00 TL"
Biber (Ãarli),Kilogram,"40,00 TL","50,00 TL"
Biber (Ãarli)Ä°kinci,Kilogram,"20,00 TL","35,00 TL"
Biber (Dolma),Kilogram,"45,00 TL","60,00 TL"
Biber (Dolma)Ä°kinci,Kilogram,"20,00 TL","40,00 TL"
Biber (KÃ¶y),Kilogram,"50,00 TL","60,00 TL"
Biber (Renkli),Kilogram,"50,00 TL","60,00 TL"
Biber (Sivri),Kilogram,"50,00 TL","55,00 TL"
Biber (Sivri)Ä°kinci,Kilogram,"20,00 TL","40,00 TL"
Biber KÃ¶y II.,Kilogram,"25,00 TL","40,00 TL"
Biber(Sivri KÄ±l),Kilogram,"80,00 TL","100,00 TL"
Brokoli,Kilogram,"20,00 TL","35,00 TL"
Dereotu,Demet,"8,00 TL","10,00 TL"
Dereotu II.,Demet,"5,00 TL","7,00 TL"
Domates,Kilogram,"25,00 TL","45,00 TL"
Domates ( Beef),Kilogram,"45,00 TL","55,00 TL"
Domates (Ãeri),Kilogram,"80,00 TL","100,00 TL"
Domates (Ä°kinci kalite),Kilogram,"15,00 TL","20,00 TL"
Domates (kokteyl),Kilogram,"45,00 TL","60,00 TL"
Domates (Pembe),Kilogram,"50,00 TL","70,00 TL"
Domates (SalkÄ±m),Kilogram,"30,00 TL","40,00 TL"
Enginar,Adet,"20,00 TL","25,00 TL"
FasÃ¼lye (ÃalÄ±),Kilogram,"90,00 TL","140,00 TL"
FasÃ¼lye (Yer),Kilogram,"50,00 TL","60,00 TL"
GÃ¶bek Salata,Adet,"20,00 TL","25,00 TL"
GÃ¶bek Salata (2.Kalite),Adet,"10,00 TL","15,00 TL"
HavuÃ§ (BeypazarÄ±),Kilogram,"16,00 TL","18,00 TL"
HavuÃ§ (BeypazarÄ±)Ä°ri,Kilogram,"16,00 TL","18,00 TL"
HavuÃ§ (Ä°kinci),Kilogram,"7,00 TL","10,00 TL"
Ispanak,Kilogram,"13,00 TL","17,00 TL"
Ispanak II.,Kilogram,"8,00 TL","10,00 TL"
Kabak (Bal),Kilogram,"10,00 TL","25,00 TL"
Kabak (SakÄ±z),Kilogram,"20,00 TL","35,00 TL"
Kabak SakÄ±z(ikinci),Kilogram,"15,00 TL","20,00 TL"
Karnabahar,Kilogram,"10,00 TL","15,00 TL"
Kereviz,Kilogram,"15,00 TL","18,00 TL"
KÄ±vÄ±rcÄ±k,Adet,"15,00 TL","20,00 TL"
KÄ±vÄ±rcÄ±k (2.Kalite),Adet,"5,00 TL","10,00 TL"
KÄ±vÄ±rcÄ±k KÄ±rmÄ±zÄ±(Lolorosso),Adet,"10,00 TL","20,00 TL"
Lahana (Beyaz),Kilogram,"6,00 TL","8,00 TL"
Lahana (BrÃ¼ksel),Kilogram,"25,00 TL","35,00 TL"
Lahana (Kara),Kilogram,"10,00 TL","15,00 TL"
Lahana (KÄ±rmÄ±zÄ±),Kilogram,"8,00 TL","10,00 TL"
Mantar,Kilogram,"45,00 TL","65,00 TL"
Marul,Adet,"15,00 TL","20,00 TL"
Marul II.,Kilogram,"10,00 TL","15,00 TL"
Maydonoz,Demet,"5,00 TL","8,00 TL"
Maydonoz II.,Demet,"3,00 TL","4,00 TL"
MÄ±sÄ±r,Adet,"4,00 TL","8,00 TL"
Nane (Tekli),Demet,"8,00 TL","10,00 TL"
Nane II.,Demet,"5,00 TL","7,00 TL"
Pancar,Kilogram,"8,00 TL","10,00 TL"
Patates,Kilogram,"18,00 TL","24,00 TL"
Patates (2.kalite),Kilogram,"10,00 TL","15,00 TL"
Patates (Taze),Kilogram,"23,00 TL","26,00 TL"
PatlÄ±can (Ä°kinci),Kilogram,"20,00 TL","25,00 TL"
PatlÄ±can Bostan,Kilogram,"35,00 TL","45,00 TL"
PatlÄ±can I.,Kilogram,"30,00 TL","40,00 TL"
PazÄ±,Kilogram,"10,00 TL","15,00 TL"
PÄ±rasa,Kilogram,"10,00 TL","20,00 TL"
Roka,Demet,"8,00 TL","10,00 TL"
Roka II.,Demet,"5,00 TL","7,00 TL"
Salata (ÃengelkÃ¶y) silor,Kilogram,"30,00 TL","40,00 TL"
Salata(Ã§engelkÃ¶y II.),Kilogram,"15,00 TL","25,00 TL"
SalatalÄ±k I.,Kilogram,"20,00 TL","30,00 TL"
SalatalÄ±k(Ä°kinci),Kilogram,"15,00 TL","20,00 TL"
SarÄ±msak (Kuru),Kilogram,"100,00 TL","150,00 TL"
SarÄ±msak(II.),Kilogram,"25,00 TL","45,00 TL"
Semizotu,Kilogram,"40,00 TL","50,00 TL"
SoÄan (KÄ±rmÄ±zÄ± BalÄ±k),Kilogram,"30,00 TL","40,00 TL"
SoÄan (Taze),Kilogram,"50,00 TL","75,00 TL"
SoÄan (TekirdaÄ),Kilogram,"15,00 TL","20,00 TL"
SoÄan Kuru,Kilogram,"10,00 TL","14,00 TL"
SoÄan Kuru II.,Kilogram,"5,00 TL","8,00 TL"
Tereotu,Demet,"8,00 TL","10,00 TL"
Turp (Japon),Kilogram,"8,00 TL","10,00 TL"
Turp (KÄ±rmÄ±zÄ±),Kilogram,"8,00 TL","10,00 TL"
Yaprak (Salamura),Kilogram,"70,00 TL","100,00 TL"
