Urun AdÄ±,Birim,En DÃ¼ÅÃ¼k Fiyat,En YÃ¼ksek Fiyat
Armut,Kilogram,"10,00 TL","20,00 TL"
Armut (Ankara),Kilogram,"25,00 TL","35,00 TL"
Armut (Deveci),Kilogram,"35,00 TL","45,00 TL"
Armut (Santamaria),Kilogram,"30,00 TL","55,00 TL"
Avakado,Adet,"40,00 TL","50,00 TL"
Ayva,Kilogram,"40,00 TL","60,00 TL"
Ayva ( Ä°kinci ),Kilogram,"20,00 TL","35,00 TL"
Ãilek II.,Kilogram,"50,00 TL","70,00 TL"
Ãilek(I.),Kilogram,"80,00 TL","100,00 TL"
Elma (Amasya),Kilogram,"30,00 TL","50,00 TL"
Elma (Bodur),Kilogram,"30,00 TL","50,00 TL"
Elma (Golden),Kilogram,"30,00 TL","45,00 TL"
Elma (Gransimit),Kilogram,"45,00 TL","55,00 TL"
Elma (Starkin),Kilogram,"30,00 TL","45,00 TL"
Elma(GoldenII.),Kilogram,"15,00 TL","20,00 TL"
Elma(gransimit)II.,Kilogram,"20,00 TL","30,00 TL"
Elma(starkin)II.,Kilogram,"15,00 TL","20,00 TL"
Erik (Anjelik),Kilogram,"45,00 TL","55,00 TL"
Greyfurt,Kilogram,"15,00 TL","25,00 TL"
Hurma,Kilogram,"40,00 TL","70,00 TL"
Karpuz (1.Kalite),Kilogram,"35,00 TL","45,00 TL"
Kavun,Kilogram,"60,00 TL","100,00 TL"
KayÄ±sÄ± I.,Kilogram,"50,00 TL","60,00 TL"
Kestane,Kilogram,"100,00 TL","200,00 TL"
Kivi (Yerli),Kilogram,"45,00 TL","65,00 TL"
Limon,Kilogram,"10,00 TL","16,00 TL"
Limon (ÃÄ±kma),SandÄ±k,"5,00 TL","7,00 TL"
Limon (Enter),Kilogram,"7,00 TL","10,00 TL"
Limon (Lamas),Kilogram,"10,00 TL","18,00 TL"
Limon (Mayer),Kilogram,"8,00 TL","16,00 TL"
Mandalina,Kilogram,"10,00 TL","20,00 TL"
Mandalina (2.kalite),Kilogram,"8,00 TL","10,00 TL"
Mandalina (Ä°zmir),Kilogram,"25,00 TL","32,00 TL"
Muz (Yerli),Kilogram,"35,00 TL","45,00 TL"
Muz(Yerli II.),Kilogram,"20,00 TL","30,00 TL"
Nar,Kilogram,"30,00 TL","50,00 TL"
Portakal,Kilogram,"10,00 TL","20,00 TL"
Portakal (SÄ±kmalÄ±k),Kilogram,"10,00 TL","15,00 TL"
Portakal (WaÅington),Kilogram,"25,00 TL","35,00 TL"
